一時保存	登録内容が一時保存される
起票	ワークフローが正常起票される
p_sBtnVal	ワークフローが正常起票される
差戻し	ワークフローが差し戻される
SEL_BACK	ワークフローが差し戻される
承認	承認確認メッセージが表示される。はいを選択する場合、承認処理が正常終了される
否認	本ワークフローが否認される
取りやめ	本ワークフローが取り止めされる
取り止め	本ワークフローが取り止めされる
フロー参照	フロー画面が表示される
先頭へ戻る	フォーカスが画面の先頭へ移動される
ACT_DOWNLOAD_FILE	ファイルがダウンロードされる
ダウンロード	ファイルがダウンロードされる
決定	入力内容が起案画面へ反映される
キャンセル	画面が閉じる
閉じる	画面が閉じる
登録	登録処理が正常終了され、画面が閉じる
クリア	入力内容がクリアされる(全項目)
CSV出力	検索結果がCSVファイルに出力される
検索	すべての検索条件項目を入力して、検索が正常終了される。検索結果が画面に一覧表示される
印刷	ワークフロー情報がpdfに出力される
追加	添付ファイルが追加される
削除	選択される添付ファイルが削除される
段落	本文欄に表示している内容にの行に先頭"＞"が追加される
段落処理	本文欄に表示している内容にの行に先頭"＞"が追加される
ファイル追加	ファイルアップロード画面が表示される
取り消し	処理が中止され、画面が閉じられる

履歴呼出	履歴に登録したデータが画面に表示される
履歴削除	「現在選択されている履歴を削除します。よろしいですか？」の確認ダイアログが表示される。はいを選択する場合、履歴が削除される


1行クリア	該当行の設定がクリアされる
fnc_clickTab	[eventname]タブが展開状態で表示される
openWindow	[eventname]の検索画面が表示される
fnc_callNewEntry	[eventname]の新規起票画面が表示される
ヘルプ	関連ヘルプ.pdfが表示される
S_PAGE_HELP	関連ヘルプ.pdfが表示される
SEL_NUMPERPAGE	「最大表示件数」のプルダウンに選択可能なリストが表示される
ファイル追加...	ファイル追加画面が表示される
メインを差戻し	本ワークフローのメインフローが差し戻される
プレビュー	本ワークフローをPDFとして出力される

p_sNextArrow	次ページの検索結果一覧が表示される
p_sPaging	前ページの検索結果一覧が表示される
p_oResultInfo.ALL	指定ページの検索結果一覧が表示される
p_oResultInfo.START	１ページ目の検索結果一覧が表示される
p_oResultInfo.END	最終ページの検索結果一覧が表示される
